Kode Limbah,Bentuk,Karakter Limbah,Sumber,Bahaya,Kemasan
A108d,Padat,T,Tidak Spesifik,1,Drum Logam
A324-1,Cair,T,Spesifik Umum,1,Drum Logam
A336-1,Padat,T,Spesifik Umum,1,Drum Logam
B107d,Padat,T,Tidak Spesifik,2,Drum Logam
B336-2,Padat,T,Spesifik Umum,2,Drum Logam
A107d,Cair,I,Tidak Spesifik,1,Drum Logam
B110d,Padat,T,Tidak Spesifik,2,Jumbo Bag
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
B107d,Padat,T,Tidak Spesifik,2,Drum Logam
B108d,Cair,T,Tidak Spesifik,2,R.O Container
B107d,Padat,T,Tidak Spesifik,2,Kemasan Karton atau plastik
A336-1,Padat,T,Spesifik Umum,1,Tanpa Kemasan
B104d,Padat,T,Tidak Spesifik,2,Wheel Bin
B107d,Padat,T,Tidak Spesifik,2,Kemasan Karton atau plastik
B102d,Padat,T,Tidak Spesifik,2,Drum Plastik
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
A307-1,Cair & Padat,T,Spesifik Umum,1,IBC Tank
A108d,Padat,T,Tidak Spesifik,1,Jumbo Bag
